Y	M	L	ENSO	(m,m0)_(CV)
1986 05 2 0 1.61522
1987 05 2 1 254.035
1988 05 2 1 22.8176
1989 05 2 1 1.97057
1990 05 2 0 136.68
1991 05 2 1 102.636
1992 05 2 1 459.564
1993 05 2 1 85.5373
1994 05 2 1 2.24993
1995 05 2 0 57.1122
1996 05 2 0 0.0826366
1997 05 2 1 207.457
1998 05 2 1 13.6638
1999 05 2 1 96.0301
2000 05 2 0 12.1952
2001 05 2 0 111.821
2002 05 2 1 0.857865
2003 05 2 0 63.9056
2004 05 2 0 556.739
2005 05 2 1 146.783
2006 05 2 0 0.163186
2007 05 2 0 10.6409
2008 05 2 0 13.3937
2009 05 2 0 0.000963894
2010 05 2 0 331.378
2011 05 2 0 0.365693
2012 05 2 0 316.643
2013 05 2 0 0.0328463
2014 05 2 1 0.820828
2015 05 2 1 2780.12
2016 05 2 1 480.219
1983 06 3 1 2.75698
1984 06 3 0 9.47806
1985 06 3 0 3161.03
1986 06 3 0 7.48956
1987 06 3 1 343.489
1988 06 3 1 16.0193
1989 06 3 0 5.42222
1990 06 3 0 76.1437
1991 06 3 1 80.1428
1992 06 3 1 1672.54
1993 06 3 1 1108.48
1994 06 3 1 67.139
1995 06 3 0 3.06415
1996 06 3 0 0.00704568
1997 06 3 1 108.254
1998 06 3 0 4.83588
1999 06 3 1 30.664
2000 06 3 0 0.824848
2001 06 3 0 51.0893
2002 06 3 1 22.1623
2003 06 3 0 38.0559
2004 06 3 1 80.3984
2005 06 3 1 85.489
2006 06 3 0 1.90646
2007 06 3 0 97.6435
2008 06 3 0 2.83058
2009 06 3 1 5.36436
2010 06 3 0 66.3058
2011 06 3 0 -6.72838e-07
2012 06 3 0 11.1271
2013 06 3 0 11.8418
2014 06 3 1 103.523
2015 06 3 1 6563.3
2016 06 3 0 105.158
1983 07 4 0 502.233
1984 07 4 0 0.181702
1985 07 4 0 3.37827
1986 07 4 0 8.82655
1987 07 4 1 524.189
1988 07 4 1 3.8804
1989 07 4 0 0.177142
1990 07 4 0 6.57545
1991 07 4 1 0.240122
1992 07 4 1 868.583
1993 07 4 1 205.888
1994 07 4 0 0.45324
1995 07 4 0 10.1069
1996 07 4 0 64.0121
1997 07 4 1 48.6308
1998 07 4 1 0.268984
1999 07 4 1 22.4429
2000 07 4 0 1.85214
2001 07 4 0 11.5506
2002 07 4 1 2.46308
2003 07 4 0 278.49
2004 07 4 1 82.3551
2005 07 4 0 320.781
2006 07 4 0 2.18581
2007 07 4 0 5.65623
2008 07 4 0 6.53063
2009 07 4 1 1.83885
2010 07 4 1 70.6914
2011 07 4 0 -9.93877e-05
2012 07 4 1 0.820382
2013 07 4 0 18.2984
2014 07 4 0 0.0280793
2015 07 4 1 0.802659
2016 07 4 0 28.3678
1983 05 0 1 0.016 0.099
1984 05 0 0 5.87 0.008
1985 05 0 0 1725 506.5
1986 05 0 0 3.41 0.398
1987 05 0 1 298.0 88.2
1988 05 0 1 18.6 16.8
1989 05 0 1 29.7 1.07
1990 05 0 0 798.1 642.9
1991 05 0 1 228.5 98.6
1992 05 0 1 1052 660.7
1993 05 0 1 159.7 30.6
1994 05 0 1 85.1 0.407
1995 05 0 0 0.532 63.0
1996 05 0 0 0.0 0.0
1997 05 0 1 135.3 269.9
1998 05 0 1 0.0 1.90
1999 05 0 1 161.8 257.7
2000 05 0 0 0.547 7.29
2001 05 0 0 103.3 53.4
2002 05 0 1 133.8 0.148
2003 05 0 0 2.50 24.7
2004 05 0 0 1020 1866
2005 05 0 1 69.1 159.6
2006 05 0 0 22.6 0.046
2007 05 0 0 327.1 4.85
2008 05 0 0 17.1 4.07
2009 05 0 0 6.63 0.0
2010 05 0 0 148.5 256.4
2011 05 0 0 0.0 0.0
2012 05 0 0 271.6 6.60
2013 05 0 0 1.78 0.0
2014 05 0 1 15.6 0.014
2015 05 0 1 2621 163.3
2016 05 0 1 94.4 14.8
1983 05 1 1 4.29988
1984 05 1 0 0.697815
1985 05 1 0 104.363
1986 05 1 0 28.9859
1987 05 1 1 371.047
1988 05 1 1 16.5355
1989 05 1 1 4.26586
1990 05 1 0 224.201
1991 05 1 1 205.758
1992 05 1 1 1147.65
1993 05 1 1 421.818
1994 05 1 1 2.09878
1995 05 1 0 18.1204
1996 05 1 0 0.0714547
1997 05 1 1 833.521
1998 05 1 1 6.49312
1999 05 1 1 170.22
2000 05 1 0 8.44618
2001 05 1 0 104.582
2002 05 1 1 0.315015
2003 05 1 0 7.15322
2004 05 1 0 221.442
2005 05 1 1 60.3168
2006 05 1 0 0.371562
2007 05 1 0 7.28962
2008 05 1 0 4.16379
2009 05 1 0 0.0189875
2010 05 1 0 173.81
2011 05 1 0 0.153584
2012 05 1 0 23.2808
2013 05 1 0 0.000586696
2014 05 1 1 0.0718319
2015 05 1 1 1.92151e+06
2016 05 1 1 169.986
1983 06 2 1 0.620518
1984 06 2 0 8.43059
1985 06 2 0 525.061
1986 06 2 0 7.02103
1987 06 2 1 209.658
1988 06 2 1 7.65162
1989 06 2 0 30.4417
1990 06 2 0 55.1382
1991 06 2 1 76.6142
1992 06 2 1 5076.21
1993 06 2 1 665.59
1994 06 2 1 39.3479
1995 06 2 0 0.128264
1996 06 2 0 0.00265737
1997 06 2 1 303.141
1998 06 2 0 0.0760425
1999 06 2 1 139.801
2000 06 2 0 2.2169
2001 06 2 0 110.69
2002 06 2 1 17.8221
2003 06 2 0 5.7855
2004 06 2 1 444.246
2005 06 2 1 26.2387
2006 06 2 0 4.19448
2007 06 2 0 128.091
2008 06 2 0 3.45055
2009 06 2 1 20.4287
2010 06 2 0 88.0644
2011 06 2 0 0.375375
2012 06 2 0 37.8743
2013 06 2 0 5.9926
2014 06 2 1 10.0686
2015 06 2 1 190.65
2016 06 2 0 6.71209
1983 07 3 0 56.2668
1984 07 3 0 0.00691295
1985 07 3 0 6.02627
1986 07 3 0 97.7891
1987 07 3 1 7580.97
1988 07 3 1 0.897596
1989 07 3 0 0.369235
1990 07 3 0 48.2154
1991 07 3 1 2.19693
1992 07 3 1 6.49703
1993 07 3 1 35.715
1994 07 3 0 10.3012
1995 07 3 0 111.736
