Y	M	Lead	P-Y	P-M	Streamflow_CV
2013 03 2 2013 04 6.07831e-05
2014 03 2 2014 04 0.0765376
2015 03 2 2015 04 103.835
2016 03 2 2016 04 34.6047
1982 03 3 1982 05 39.0036
1983 03 3 1983 05 0.489631
1984 03 3 1984 05 0.215613
1985 03 3 1985 05 55.235
1986 03 3 1986 05 1.20017
1987 03 3 1987 05 143.702
1988 03 3 1988 05 6.78916
1989 03 3 1989 05 3.27516
1990 03 3 1990 05 172.56
1991 03 3 1991 05 92.6065
1992 03 3 1992 05 352.432
1993 03 3 1993 05 49.7137
1994 03 3 1994 05 2.05151
1995 03 3 1995 05 77.5997
1996 03 3 1996 05 0.0640353
1997 03 3 1997 05 579.267
1998 03 3 1998 05 7.34702
1999 03 3 1999 05 193.818
2000 03 3 2000 05 53.6897
2001 03 3 2001 05 53.3843
2002 03 3 2002 05 3.75177
2003 03 3 2003 05 24.1263
2004 03 3 2004 05 3128.04
2005 03 3 2005 05 44.522
2006 03 3 2006 05 0.359316
2007 03 3 2007 05 25.5177
2008 03 3 2008 05 7.85551
2009 03 3 2009 05 0.0135138
2010 03 3 2010 05 108.253
2011 03 3 2011 05 0.137417
2012 03 3 2012 05 103.024
2013 03 3 2013 05 0.0139938
2014 03 3 2014 05 0.0977683
2015 03 3 2015 05 18366.5
2016 03 3 2016 05 24173
1982 03 4 1982 06 414.355
1983 03 4 1983 06 0.900086
1984 03 4 1984 06 23.8166
1985 03 4 1985 06 541.715
1986 03 4 1986 06 3.69741
1987 03 4 1987 06 82.9309
1988 03 4 1988 06 36.0641
1989 03 4 1989 06 18.5922
1990 03 4 1990 06 94.9153
1991 03 4 1991 06 154.359
1992 03 4 1992 06 341.599
1993 03 4 1993 06 100.579
1994 03 4 1994 06 41.1793
1995 03 4 1995 06 1.49671
1996 03 4 1996 06 0.000807811
1997 03 4 1997 06 95.0302
1998 03 4 1998 06 0.0908837
1999 03 4 1999 06 24.5313
2000 03 4 2000 06 0.306993
2001 03 4 2001 06 69.6208
2002 03 4 2002 06 62.8967
2003 03 4 2003 06 6.66605
2004 03 4 2004 06 86.8219
2005 03 4 2005 06 32.9947
2006 03 4 2006 06 14.9869
2007 03 4 2007 06 141.791
2008 03 4 2008 06 18.2838
2009 03 4 2009 06 6.08308
2010 03 4 2010 06 109.446
2011 03 4 2011 06 0.0653295
2012 03 4 2012 06 104.212
2013 03 4 2013 06 19.3592
2014 03 4 2014 06 17.3061
2015 03 4 2015 06 287.574
2016 03 4 2016 06 8.98865
1982 04 0 1982 04 30.8001
1983 04 0 1983 04 0.0989996
1984 04 0 1984 04 0.00800001
1985 04 0 1985 04 506.498
1986 04 0 1986 04 0.398
1987 04 0 1987 04 88.2002
1988 04 0 1988 04 16.7999
1989 04 0 1989 04 1.07
1990 04 0 1990 04 642.9
1991 04 0 1991 04 98.5998
1992 04 0 1992 04 660.7
1993 04 0 1993 04 30.5999
1994 04 0 1994 04 0.407
1995 04 0 1995 04 63.0002
1996 04 0 1996 04 3.71976e-11
1997 04 0 1997 04 269.899
1998 04 0 1998 04 1.9
1999 04 0 1999 04 257.701
2000 04 0 2000 04 7.29002
2001 04 0 2001 04 53.3999
2002 04 0 2002 04 0.148
2003 04 0 2003 04 24.7001
2004 04 0 2004 04 1866
2005 04 0 2005 04 159.6
2006 04 0 2006 04 0.0460001
2007 04 0 2007 04 4.85
2008 04 0 2008 04 4.07001
2009 04 0 2009 04 3.71976e-11
2010 04 0 2010 04 256.4
