Y	M	Lead	P-Y	P-M	Streamflow_CV
2005 05 3 2005 07 17.1478
2006 05 3 2006 07 8.99137
2007 05 3 2007 07 32.435
2008 05 3 2008 07 20.2226
2009 05 3 2009 07 26.1367
2010 05 3 2010 07 20.1318
1984 05 4 1984 08 0.466004
1985 05 4 1985 08 54.3977
1986 05 4 1986 08 38.5829
1987 05 4 1987 08 97.5396
1988 05 4 1988 08 13.7924
1989 05 4 1989 08 32.5743
1990 05 4 1990 08 16.1497
1991 05 4 1991 08 6.11721
1992 05 4 1992 08 0.70594
1993 05 4 1993 08 3.51928
1994 05 4 1994 08 0.120202
1995 05 4 1995 08 0.253414
1996 05 4 1996 08 2.30348
1997 05 4 1997 08 8.26961
1998 05 4 1998 08 7.04214
1999 05 4 1999 08 179.927
2000 05 4 2000 08 57.7438
2001 05 4 2001 08 10.6982
2002 05 4 2002 08 21.3163
2003 05 4 2003 08 7.50592
2004 05 4 2004 08 11.7501
2005 05 4 2005 08 382.312
2006 05 4 2006 08 71.588
2007 05 4 2007 08 196.825
2008 05 4 2008 08 114.73
2009 05 4 2009 08 35.9955
2010 05 4 2010 08 430.388
1983 06 0 1983 06 37.3999
1984 06 0 1984 06 1.33
1985 06 0 1985 06 303.7
1986 06 0 1986 06 492.7
1987 06 0 1987 06 268.5
1988 06 0 1988 06 59.0998
1989 06 0 1989 06 482.601
1990 06 0 1990 06 1033
1991 06 0 1991 06 1136
1992 06 0 1992 06 846.703
1993 06 0 1993 06 113.3
1994 06 0 1994 06 15.5001
1995 06 0 1995 06 167.401
1996 06 0 1996 06 58.6002
1997 06 0 1997 06 314.499
1998 06 0 1998 06 26.2999
1999 06 0 1999 06 1264
2000 06 0 2000 06 167.9
2001 06 0 2001 06 74.1002
2002 06 0 2002 06 10.4
2003 06 0 2003 06 254.599
2004 06 0 2004 06 115.9
2005 06 0 2005 06 49.8001
2006 06 0 2006 06 36.1002
2007 06 0 2007 06 180.899
2008 06 0 2008 06 40.8999
2009 06 0 2009 06 55.0003
2010 06 0 2010 06 115.3
1984 06 1 1984 06 70.1715
1985 06 1 1985 06 188.594
1986 06 1 1986 06 97.7767
1987 06 1 1987 06 146.22
1988 06 1 1988 06 80.6501
1989 06 1 1989 06 39.4882
1990 06 1 1990 06 88.4836
1991 06 1 1991 06 66.3793
1992 06 1 1992 06 55.6156
1993 06 1 1993 06 80.7192
1994 06 1 1994 06 225.518
1995 06 1 1995 06 209.862
1996 06 1 1996 06 29.5212
1997 06 1 1997 06 147.849
1998 06 1 1998 06 80.5384
1999 06 1 1999 06 99.1226
2000 06 1 2000 06 99.2785
2001 06 1 2001 06 106.554
2002 06 1 2002 06 97.5903
2003 06 1 2003 06 50.9014
2004 06 1 2004 06 88.3166
2005 06 1 2005 06 103.472
2006 06 1 2006 06 350.283
