X	Y	S	mean [ IRI FD ECHAM4p5 Forecast ca_sst ensemble24 MONTHLY st ]
degree_east	degree_north	months since 1960-01-01	Kelvin_scale
   -98.43750    	    32.09194    	    89.00000    	    306.8786    
   -101.2500    	    29.30136    	    89.00000    	    304.6958    
   -98.43750    	    29.30136    	    89.00000    	    307.7647    
   -101.2500    	    32.09194    	    90.00000    	    308.6611    
   -98.43750    	    32.09194    	    90.00000    	    309.1129    
   -101.2500    	    29.30136    	    90.00000    	    307.0817    
   -98.43750    	    29.30136    	    90.00000    	    309.0217    
   -101.2500    	    32.09194    	    91.00000    	    307.7643    
   -98.43750    	    32.09194    	    91.00000    	    308.5463    
   -101.2500    	    29.30136    	    91.00000    	    305.9845    
   -98.43750    	    29.30136    	    91.00000    	    308.6537    
   -101.2500    	    32.09194    	    92.00000    	    303.8768    
