Y	M	Lead	P-Y	P-M	Streamflow_CV
1985 05 2 1985 06 253.663
1986 05 2 1986 06 87.789
1987 05 2 1987 06 575.61
1988 05 2 1988 06 140.413
1989 05 2 1989 06 65.227
1990 05 2 1990 06 434.225
1991 05 2 1991 06 466.46
1992 05 2 1992 06 60.3926
1993 05 2 1993 06 204.722
1994 05 2 1994 06 401.055
1995 05 2 1995 06 164.129
1996 05 2 1996 06 41.8011
1997 05 2 1997 06 372.815
1998 05 2 1998 06 49.2855
1999 05 2 1999 06 103.9
2000 05 2 2000 06 19.3669
2001 05 2 2001 06 201.26
2002 05 2 2002 06 235.05
2003 05 2 2003 06 37.4991
2004 05 2 2004 06 55.5811
2005 05 2 2005 06 168.718
2006 05 2 2006 06 319.543
2007 05 2 2007 06 1084.25
2008 05 2 2008 06 72.2899
2009 05 2 2009 06 140.09
2010 05 2 2010 06 110.269
1984 05 3 1984 07 0.271415
1985 05 3 1985 07 58.3077
1986 05 3 1986 07 134.219
1987 05 3 1987 07 198.289
1988 05 3 1988 07 13.2844
1989 05 3 1989 07 78.1807
1990 05 3 1990 07 90.7975
1991 05 3 1991 07 5551.69
1992 05 3 1992 07 141.217
1993 05 3 1993 07 35.2081
1994 05 3 1994 07 4.50677
1995 05 3 1995 07 61.8524
1996 05 3 1996 07 57.0928
1997 05 3 1997 07 136.685
1998 05 3 1998 07 0.264213
1999 05 3 1999 07 90.2393
2000 05 3 2000 07 20.6926
2001 05 3 2001 07 0.938394
2002 05 3 2002 07 37.9606
2003 05 3 2003 07 460.771
2004 05 3 2004 07 18.688
2005 05 3 2005 07 9.981
2006 05 3 2006 07 0.626307
2007 05 3 2007 07 88.0752
2008 05 3 2008 07 146.312
2009 05 3 2009 07 27.4508
2010 05 3 2010 07 29.1729
1984 05 4 1984 08 -9.98009e-05
1985 05 4 1985 08 3.93186
1986 05 4 1986 08 8.7975
1987 05 4 1987 08 18.0256
1988 05 4 1988 08 12.3516
1989 05 4 1989 08 0.124852
1990 05 4 1990 08 0.584437
1991 05 4 1991 08 0.177085
1992 05 4 1992 08 1018.44
1993 05 4 1993 08 8.53378
1994 05 4 1994 08 4.00549
1995 05 4 1995 08 0.453915
1996 05 4 1996 08 0.77236
1997 05 4 1997 08 6.84281
1998 05 4 1998 08 1.90085
1999 05 4 1999 08 7.7174
2000 05 4 2000 08 11.7657
2001 05 4 2001 08 0.619547
2002 05 4 2002 08 13.2579
2003 05 4 2003 08 0.678313
2004 05 4 2004 08 6.1388
2005 05 4 2005 08 1.43621
2006 05 4 2006 08 0.872195
2007 05 4 2007 08 625.467
2008 05 4 2008 08 49.0362
2009 05 4 2009 08 84.4347
