Y	M	L	ENSO	(m,m0)_(CV)
2006 05 1 0 32.8422
2007 05 1 0 112.508
2008 05 1 0 51.4215
2009 05 1 0 84.0489
2010 05 1 0 90.4097
2011 05 1 0 5.42817
2012 05 1 0 2.72983
2013 05 1 0 1.8381
2014 05 1 1 15.8857
2015 05 1 1 1726.48
2016 05 1 1 52.2356
1982 06 2 1 528.032
1983 06 2 1 309.349
1984 06 2 0 15.4086
1985 06 2 0 298.663
1986 06 2 0 113.536
1987 06 2 1 444.177
1988 06 2 1 49.1288
1989 06 2 0 42.4466
1990 06 2 0 114.335
1991 06 2 1 59.8623
1992 06 2 1 479.261
1993 06 2 1 151.989
1994 06 2 1 179.976
1995 06 2 0 176.963
1996 06 2 0 16.3362
1997 06 2 1 441.214
1998 06 2 0 62.2617
1999 06 2 1 162.963
2000 06 2 0 78.1215
2001 06 2 0 66.5647
2002 06 2 1 67.0706
2003 06 2 0 38.966
2004 06 2 1 64.689
2005 06 2 1 116.869
2006 06 2 0 286.548
2007 06 2 0 521.747
2008 06 2 0 131.609
2009 06 2 1 103.705
2010 06 2 0 182.067
2011 06 2 0 25.1025
2012 06 2 0 51.013
2013 06 2 0 22.0895
2014 06 2 1 7.74489
2015 06 2 1 9.55584
2016 06 2 0 11.8611
1982 07 3 1 700.264
1983 07 3 0 4.09442
1984 07 3 0 0.646538
1985 07 3 0 318.019
1986 07 3 0 41.9038
1987 07 3 1 42.7581
1988 07 3 1 4.87931
1989 07 3 0 302.849
1990 07 3 0 197.966
1991 07 3 1 148.316
1992 07 3 1 286.242
1993 07 3 1 18.2729
1994 07 3 0 3.0678
1995 07 3 0 10.0186
1996 07 3 0 6.81675
1997 07 3 1 137.748
1998 07 3 1 2.21791
1999 07 3 1 380.245
2000 07 3 0 24.9763
2001 07 3 0 4.96999
2002 07 3 1 0.951448
2003 07 3 0 28.9746
2004 07 3 1 24.8596
2005 07 3 0 7.39705
2006 07 3 0 4.52002
2007 07 3 0 38.6365
2008 07 3 0 14.7536
2009 07 3 1 43.7849
2010 07 3 1 40.5747
2011 07 3 0 2.82351
2012 07 3 1 28.9127
2013 07 3 0 32.1443
2014 07 3 0 5.4185
2015 07 3 1 34.5978
2016 07 3 0 17.3622
1982 08 4 1 50.1396
1983 08 4 0 20.6628
1984 08 4 0 0.101885
1985 08 4 0 10.4672
1986 08 4 0 27.896
1987 08 4 1 143.128
1988 08 4 1 202.467
1989 08 4 0 6.29723
1990 08 4 0 34.5741
1991 08 4 1 18.9876
1992 08 4 0 16.178
1993 08 4 0 7.48833
1994 08 4 1 3.95229
1995 08 4 0 1.66043
1996 08 4 0 7.27796
1997 08 4 1 37.2744
1998 08 4 1 12.8191
1999 08 4 1 69.5919
2000 08 4 0 38.5002
2001 08 4 0 8.39311
2002 08 4 1 62.9798
2003 08 4 0 16.6742
2004 08 4 1 62.7294
2005 08 4 0 13.8322
2006 08 4 0 12.8565
2007 08 4 0 18.5263
2008 08 4 0 13.6527
2009 08 4 1 39.1986
2010 08 4 1 374.195
2011 08 4 0 0.000215842
2012 08 4 1 0.148007
2013 08 4 0 48.3349
2014 08 4 0 2.34336
2015 08 4 1 25.5007
2016 08 4 0 3.22259
1982 06 0 1 794.2 1127
1983 06 0 1 37.4 478.0
1984 06 0 0 1.33 0.499
1985 06 0 0 303.7 405.1
1986 06 0 0 492.7 79.5
1987 06 0 1 268.5 753.6
1988 06 0 1 59.1 17.0
1989 06 0 0 482.6 4.67
1990 06 0 0 1033 50.9
1991 06 0 1 1136 35.4
1992 06 0 1 846.7 856.6
1993 06 0 1 113.3 56.4
1994 06 0 1 15.5 163.1
1995 06 0 0 167.4 180.9
1996 06 0 0 58.6 0.843
1997 06 0 1 314.5 118.8
1998 06 0 0 26.3 4.81
1999 06 0 1 1264 104.1
2000 06 0 0 167.9 46.9
2001 06 0 0 74.1 11.4
2002 06 0 1 10.4 25.0
2003 06 0 0 254.6 4.67
2004 06 0 1 115.9 28.4
2005 06 0 1 49.8 23.1
2006 06 0 0 36.1 228.7
2007 06 0 0 180.9 264.7
2008 06 0 0 40.9 62.8
2009 06 0 1 55.0 14.0
2010 06 0 0 115.3 167.4
2011 06 0 0 0.283 2.69
2012 06 0 0 19.5 25.3
2013 06 0 0 20.9 45.7
2014 06 0 1 52.7 33.2
2015 06 0 1 274.2 589.3
2016 06 0 0 113.8 122.8
1982 06 1 1 231.125
1983 06 1 1 449.184
1984 06 1 0 107.427
1985 06 1 0 157.127
1986 06 1 0 106.712
1987 06 1 1 714.496
1988 06 1 1 79.6796
1989 06 1 0 25.6534
1990 06 1 0 74.2248
1991 06 1 1 63.1757
1992 06 1 1 346.63
1993 06 1 1 141.366
1994 06 1 1 153.109
1995 06 1 0 231.049
1996 06 1 0 21.1562
1997 06 1 1 209.171
1998 06 1 0 20.6027
1999 06 1 1 108.077
2000 06 1 0 117.551
2001 06 1 0 99.9756
2002 06 1 1 94.9942
2003 06 1 0 20.9516
2004 06 1 1 31.0965
2005 06 1 1 121.921
2006 06 1 0 91.1073
2007 06 1 0 637.309
2008 06 1 0 57.3416
2009 06 1 1 58.9538
2010 06 1 0 113.029
2011 06 1 0 17.2713
2012 06 1 0 87.0434
2013 06 1 0 37.6401
2014 06 1 1 61.8293
2015 06 1 1 307.279
2016 06 1 0 61.3517
1982 07 2 1 103.099
1983 07 2 0 4.35298
1984 07 2 0 0.589294
1985 07 2 0 105.478
1986 07 2 0 121.128
1987 07 2 1 58.8532
1988 07 2 1 7.85388
1989 07 2 0 105.236
1990 07 2 0 328.182
1991 07 2 1 355.614
1992 07 2 1 719.272
1993 07 2 1 44.1161
1994 07 2 0 4.89217
1995 07 2 0 50.1015
