Y	M	L	ENSO	(m,m0)_(CV)
1994 04 1 0 14.8282
1995 04 1 0 4.12437
1996 04 1 0 2.09441e-05
1997 04 1 1 30.7517
1998 04 1 1 6.24106
1999 04 1 1 95.3069
2000 04 1 1 13.4435
2001 04 1 0 38.7978
2002 04 1 0 15.4193
2003 04 1 0 30.0911
2004 04 1 0 165.071
2005 04 1 1 816.542
2006 04 1 0 0.0285361
2007 04 1 0 3.6572
2008 04 1 1 1.59485
2009 04 1 0 5.67931e-05
2010 04 1 1 2.91282
2011 04 1 1 0.0326663
2012 04 1 0 46.4487
2013 04 1 0 1.79856e-05
2014 04 1 0 0.0676444
2015 04 1 1 60.7162
2016 04 1 1 16.9135
1982 05 2 1 20.7965
1983 05 2 1 0.540584
1984 05 2 0 0.563948
1985 05 2 0 4964.8
1986 05 2 0 10.7961
1987 05 2 1 6.82972
1988 05 2 1 148.545
1989 05 2 1 84.4912
1990 05 2 0 400.13
1991 05 2 1 34.6489
1992 05 2 1 508.687
1993 05 2 1 185.489
1994 05 2 1 16.4496
1995 05 2 0 150.522
1996 05 2 0 0.296042
1997 05 2 1 377.69
1998 05 2 1 6.97273
1999 05 2 1 160.256
2000 05 2 0 54.2885
2001 05 2 0 328.219
2002 05 2 1 3.16081
2003 05 2 0 38.9148
2004 05 2 0 1207.74
2005 05 2 1 95.6484
2006 05 2 0 1.43834
2007 05 2 0 10.4678
2008 05 2 0 3.16718
2009 05 2 0 0.0326583
2010 05 2 0 101.338
2011 05 2 0 0.0520908
2012 05 2 0 35.7829
2013 05 2 0 0.00491504
2014 05 2 1 0.56911
2015 05 2 1 122.204
2016 05 2 1 13.4862
1982 06 3 1 13.6058
1983 06 3 1 1.60527
1984 06 3 0 4.97041
1985 06 3 0 3062.21
1986 06 3 0 58.1486
1987 06 3 1 3022.39
1988 06 3 1 8.46529
1989 06 3 0 6.1784
1990 06 3 0 616.14
1991 06 3 1 37.0429
1992 06 3 1 2448.34
1993 06 3 1 1129.87
1994 06 3 1 225.272
1995 06 3 0 4.71747
1996 06 3 0 0.0170354
1997 06 3 1 32.6552
1998 06 3 0 0.153375
1999 06 3 1 8.58489
2000 06 3 0 0.668694
2001 06 3 0 66.4035
2002 06 3 1 12.622
2003 06 3 0 4.31094
2004 06 3 1 106.252
2005 06 3 1 11.0397
2006 06 3 0 2.1406
2007 06 3 0 32.3876
2008 06 3 0 1.18412
2009 06 3 1 62.454
2010 06 3 0 14.5667
2011 06 3 0 0.0472595
2012 06 3 0 32.6655
2013 06 3 0 3.85284
2014 06 3 1 1.95181
2015 06 3 1 4914.49
2016 06 3 0 158.241
1982 07 4 1 29.0683
1983 07 4 0 6.49899
1984 07 4 0 0.86279
1985 07 4 0 44.6184
1986 07 4 0 38.7482
1987 07 4 1 1078.96
1988 07 4 1 1.08248
1989 07 4 0 19.2496
1990 07 4 0 6.91306
1991 07 4 1 4.10555
1992 07 4 1 17.0414
1993 07 4 1 0.0542746
1994 07 4 0 0.591978
1995 07 4 0 0.868131
1996 07 4 0 0.704185
1997 07 4 1 349.335
1998 07 4 1 0.0278092
1999 07 4 1 5.20478
2000 07 4 0 11.4315
2001 07 4 0 40.3738
2002 07 4 1 14.8141
2003 07 4 0 50.5456
2004 07 4 1 127.397
2005 07 4 0 32.9448
2006 07 4 0 4.65687
2007 07 4 0 75.408
2008 07 4 0 3.35213
2009 07 4 1 4.63303
2010 07 4 1 4.09604
2011 07 4 0 4.31793e-05
2012 07 4 1 4.56705
2013 07 4 0 19.347
2014 07 4 0 0.125541
2015 07 4 1 132.23
2016 07 4 0 11.7369
1982 05 0 1 1524 30.8
1983 05 0 1 0.016 0.099
1984 05 0 0 5.87 0.008
1985 05 0 0 1725 506.5
1986 05 0 0 3.41 0.398
1987 05 0 1 298.0 88.2
1988 05 0 1 18.6 16.8
1989 05 0 1 29.7 1.07
1990 05 0 0 798.1 642.9
1991 05 0 1 228.5 98.6
1992 05 0 1 1052 660.7
1993 05 0 1 159.7 30.6
1994 05 0 1 85.1 0.407
1995 05 0 0 0.532 63.0
1996 05 0 0 0.0 0.0
1997 05 0 1 135.3 269.9
1998 05 0 1 0.0 1.90
1999 05 0 1 161.8 257.7
2000 05 0 0 0.547 7.29
2001 05 0 0 103.3 53.4
2002 05 0 1 133.8 0.148
2003 05 0 0 2.50 24.7
2004 05 0 0 1020 1866
2005 05 0 1 69.1 159.6
2006 05 0 0 22.6 0.046
2007 05 0 0 327.1 4.85
2008 05 0 0 17.1 4.07
2009 05 0 0 6.63 0.0
2010 05 0 0 148.5 256.4
2011 05 0 0 0.0 0.0
2012 05 0 0 271.6 6.60
2013 05 0 0 1.78 0.0
2014 05 0 1 15.6 0.014
2015 05 0 1 2621 163.3
2016 05 0 1 94.4 14.8
1982 05 1 1 66.0503
1983 05 1 1 4.5534
1984 05 1 0 0.406695
1985 05 1 0 221.293
1986 05 1 0 4.37131
1987 05 1 1 111.195
1988 05 1 1 14.453
1989 05 1 1 5.19785
1990 05 1 0 334.584
1991 05 1 1 163.43
1992 05 1 1 1242.1
1993 05 1 1 31.5799
1994 05 1 1 8.44028
1995 05 1 0 77.6045
1996 05 1 0 0.0886894
1997 05 1 1 264.153
1998 05 1 1 37.3381
1999 05 1 1 162.166
2000 05 1 0 29.4425
2001 05 1 0 80.1756
2002 05 1 1 5.58826
2003 05 1 0 45.7409
2004 05 1 0 553.685
2005 05 1 1 173.36
2006 05 1 0 0.613461
2007 05 1 0 6.70367
2008 05 1 0 7.02626
2009 05 1 0 0.0460368
2010 05 1 0 228.402
2011 05 1 0 0.209
2012 05 1 0 23.9079
2013 05 1 0 0.0119887
2014 05 1 1 0.257325
2015 05 1 1 257.62
2016 05 1 1 28.0902
1982 06 2 1 119.777
1983 06 2 1 0.813427
1984 06 2 0 11.9572
1985 06 2 0 495.259
1986 06 2 0 15.0109
