Y	M	L	ENSO	(m,m0)_(CV)
2009 05 0 0 14.0 22.3
2010 05 0 0 167.4 339.2
1984 05 1 0 39.0612
1985 05 1 0 106.487
1986 05 1 0 53.9247
1987 05 1 1 115.767
1988 05 1 1 40.1974
1989 05 1 1 40.739
1990 05 1 0 7.86182
1991 05 1 1 23.1892
1992 05 1 1 111.154
1993 05 1 1 99.4951
1994 05 1 1 537.105
1995 05 1 0 36.6939
1996 05 1 0 9.86618
1997 05 1 1 76.9619
1998 05 1 1 63.7972
1999 05 1 1 126.578
2000 05 1 0 15.8975
2001 05 1 0 51.2399
2002 05 1 1 24.4268
2003 05 1 0 34.7543
2004 05 1 0 7.0188
2005 05 1 1 27.5443
2006 05 1 0 10.6767
2007 05 1 0 189.18
2008 05 1 0 13.4762
2009 05 1 0 108.057
2010 05 1 0 62.8425
1984 06 2 0 106.534
1985 06 2 0 70.2231
1986 06 2 0 52.8252
1987 06 2 1 61.5186
1988 06 2 1 49.2328
1989 06 2 0 89.1981
1990 06 2 0 129.789
1991 06 2 1 100.736
1992 06 2 1 73.9589
1993 06 2 1 251.54
1994 06 2 1 347.77
1995 06 2 0 219.672
1996 06 2 0 51.5666
1997 06 2 1 241.424
1998 06 2 0 92.9115
1999 06 2 1 216.26
2000 06 2 0 111.02
2001 06 2 0 520.56
2002 06 2 1 318.41
2003 06 2 0 57.0328
2004 06 2 1 44.828
2005 06 2 1 53.915
2006 06 2 0 95.3293
2007 06 2 0 192.363
2008 06 2 0 76.9916
2009 06 2 1 40.4502
2010 06 2 0 168.117
1984 07 3 0 37.6055
1985 07 3 0 33.1448
1986 07 3 0 9.59178
1987 07 3 1 19.5759
1988 07 3 1 29.5868
1989 07 3 0 9.11089
1990 07 3 0 71.0464
1991 07 3 1 4.05392
1992 07 3 1 134.323
1993 07 3 1 110.467
1994 07 3 0 27.0903
1995 07 3 0 84.5742
1996 07 3 0 31.9251
1997 07 3 1 86.2777
1998 07 3 1 17.1579
1999 07 3 1 66.047
2000 07 3 0 27.8185
2001 07 3 0 18.0587
2002 07 3 1 6.84826
2003 07 3 0 2.37884
2004 07 3 1 5.33699
2005 07 3 0 13.3385
2006 07 3 0 10.4196
2007 07 3 0 56.5804
2008 07 3 0 29.0708
2009 07 3 1 7.79053
2010 07 3 1 82.5666
1984 08 4 0 22.2132
1985 08 4 0 14.364
1986 08 4 0 14.3869
1987 08 4 1 18.1743
1988 08 4 1 12.583
1989 08 4 0 10.8723
1990 08 4 0 6.88041
1991 08 4 1 2.4297
1992 08 4 0 37.2903
1993 08 4 0 28.7189
1994 08 4 1 21.4688
1995 08 4 0 9.21101
1996 08 4 0 13.8228
1997 08 4 1 24.4769
1998 08 4 1 23.6678
1999 08 4 1 25.8187
2000 08 4 0 9.48714
2001 08 4 0 9.78505
2002 08 4 1 13.6549
2003 08 4 0 6.55653
2004 08 4 1 14.7559
2005 08 4 0 14.4634
2006 08 4 0 14.6694
2007 08 4 0 25.0521
2008 08 4 0 18.9992
2009 08 4 1 35.8423
2010 08 4 1 7.48143
1984 06 0 0 1.33 0.499
1985 06 0 0 303.7 405.1
1986 06 0 0 492.7 79.5
1987 06 0 1 268.5 753.6
1988 06 0 1 59.1 17.0
1989 06 0 0 482.6 4.67
1990 06 0 0 1033 50.9
1991 06 0 1 1136 35.4
1992 06 0 1 846.7 856.6
1993 06 0 1 113.3 56.4
1994 06 0 1 15.5 163.1
1995 06 0 0 167.4 180.9
1996 06 0 0 58.6 0.843
1997 06 0 1 314.5 118.8
1998 06 0 0 26.3 4.81
1999 06 0 1 1264 104.1
2000 06 0 0 167.9 46.9
2001 06 0 0 74.1 11.4
2002 06 0 1 10.4 25.0
2003 06 0 0 254.6 4.67
2004 06 0 1 115.9 28.4
2005 06 0 1 49.8 23.1
2006 06 0 0 36.1 228.7
2007 06 0 0 180.9 264.7
2008 06 0 0 40.9 62.8
2009 06 0 1 55.0 14.0
2010 06 0 0 115.3 167.4
1984 06 1 0 70.0479
1985 06 1 0 145.946
1986 06 1 0 147.516
1987 06 1 1 126.575
1988 06 1 1 51.2356
1989 06 1 0 247.909
1990 06 1 0 50.8153
1991 06 1 1 72.7769
1992 06 1 1 150.058
1993 06 1 1 118.733
1994 06 1 1 224.671
1995 06 1 0 302.471
1996 06 1 0 102.715
1997 06 1 1 162.835
1998 06 1 0 79.6733
1999 06 1 1 93.9279
2000 06 1 0 128.453
2001 06 1 0 169.232
2002 06 1 1 165.297
2003 06 1 0 242.873
2004 06 1 1 101.329
2005 06 1 1 167.549
2006 06 1 0 83.592
2007 06 1 0 134.505
2008 06 1 0 85.5731
2009 06 1 1 11.2636
2010 06 1 0 172.391
1984 07 2 0 62.6221
1985 07 2 0 217.401
1986 07 2 0 25.2611
1987 07 2 1 24.5848
1988 07 2 1 29.5612
1989 07 2 0 49.2715
1990 07 2 0 4.4953
1991 07 2 1 18.2039
1992 07 2 1 49.0986
1993 07 2 1 81.0503
1994 07 2 0 34.3783
1995 07 2 0 23.2805
1996 07 2 0 15.5201
1997 07 2 1 39.0556
1998 07 2 1 13.2993
1999 07 2 1 44.303
2000 07 2 0 34.4982
2001 07 2 0 10.2802
2002 07 2 1 14.0307
2003 07 2 0 14.7575
2004 07 2 1 13.8995
2005 07 2 0 7.94326
2006 07 2 0 15.7665
2007 07 2 0 58.2866
2008 07 2 0 34.8659
2009 07 2 1 22.1384
2010 07 2 1 15.5495
1984 08 3 0 0.479475
1985 08 3 0 27.7016
1986 08 3 0 44.6941
1987 08 3 1 987.946
1988 08 3 1 72.8844
1989 08 3 0 9.19228
1990 08 3 0 1.32779
1991 08 3 1 1.32198
1992 08 3 0 920.705
1993 08 3 0 18.37
1994 08 3 1 0.669717
1995 08 3 0 2.28583
1996 08 3 0 5.07332
1997 08 3 1 181.923
1998 08 3 1 1.31557
1999 08 3 1 151.285
2000 08 3 0 3.95837
2001 08 3 0 3.20074
2002 08 3 1 62.0623
2003 08 3 0 4.81205
2004 08 3 1 49.5239
2005 08 3 0 6.06292
2006 08 3 0 6.24584
2007 08 3 0 520.074
2008 08 3 0 331.324
2009 08 3 1 9.55479
2010 08 3 1 43.2686
1984 09 4 0 64.3831
1985 09 4 0 26.8218
1986 09 4 1 261.927
1987 09 4 1 10.0436
1988 09 4 1 2.44833
1989 09 4 0 0.453715
1990 09 4 0 2.09506
1991 09 4 1 0.281947
1992 09 4 0 240.011
1993 09 4 1 54.9734
1994 09 4 1 0.000580825
1995 09 4 0 102.922
1996 09 4 0 27.2131
1997 09 4 1 13.6573
1998 09 4 0 0.26258
1999 09 4 1 53.2047
2000 09 4 0 7.92721
2001 09 4 0 20.0114
2002 09 4 1 20.5474
2003 09 4 0 2.35397
2004 09 4 1 253.814
2005 09 4 0 506.358
2006 09 4 1 10.8654
2007 09 4 1 386.405
2008 09 4 0 26.9612
2009 09 4 1 14.3111
2010 09 4 1 82.1404
1984 07 0 0 0.257 1.33
1985 07 0 0 236.9 303.7
1986 07 0 0 149.0 492.7
1987 07 0 1 282.1 268.5
1988 07 0 1 259.8 59.1
1989 07 0 0 7.67 482.6
1990 07 0 0 52.1 1033
1991 07 0 1 40.8 1136
1992 07 0 1 79.7 846.7
1993 07 0 1 3.96 113.3
1994 07 0 0 0.064 15.5
1995 07 0 0 0.623 167.4
1996 07 0 0 6.17 58.6
1997 07 0 1 83.5 314.5
1998 07 0 1 0.295 26.3
1999 07 0 1 99.9 1264
2000 07 0 0 52.6 167.9
2001 07 0 0 14.9 74.1
2002 07 0 1 135.4 10.4
2003 07 0 0 17.2 254.6
2004 07 0 1 156.2 115.9
2005 07 0 0 26.7 49.8
2006 07 0 0 8.99 36.1
2007 07 0 0 74.3 180.9
2008 07 0 0 27.5 40.9
2009 07 0 1 107.6 55.0
2010 07 0 1 1268 115.3
1984 07 1 0 26.101
1985 07 1 0 51.8269
1986 07 1 0 38.9963
1987 07 1 1 43.6027
1988 07 1 1 72.147
1989 07 1 0 831.392
1990 07 1 0 1336.86
1991 07 1 1 41.288
1992 07 1 1 166.198
1993 07 1 1 26.6389
1994 07 1 0 5.7698
1995 07 1 0 23.2817
1996 07 1 0 7.42789
1997 07 1 1 36.516
1998 07 1 1 1.5844
1999 07 1 1 214.04
2000 07 1 0 3.93214
2001 07 1 0 2.53246
2002 07 1 1 27.0403
2003 07 1 0 12.1906
2004 07 1 1 44.6649
2005 07 1 0 14.5721
2006 07 1 0 12.5107
2007 07 1 0 286.47
2008 07 1 0 21.4943
2009 07 1 1 3.41881
2010 07 1 1 44.3144
1984 08 2 0 59.6064
1985 08 2 0 92.6252
1986 08 2 0 46.9131
1987 08 2 1 23.7396
1988 08 2 1 11.3036
1989 08 2 0 5.76504
1990 08 2 0 10.0609
1991 08 2 1 10.0578
1992 08 2 0 102.913
1993 08 2 0 74.6011
1994 08 2 1 5.60239
1995 08 2 0 0.0155436
1996 08 2 0 1.54876
1997 08 2 1 23.4006
1998 08 2 1 22.542
1999 08 2 1 8.83232
2000 08 2 0 35.0402
2001 08 2 0 22.0142
2002 08 2 1 71.5194
2003 08 2 0 1.5418
2004 08 2 1 28.832
2005 08 2 0 35.0344
2006 08 2 0 25.0507
2007 08 2 0 89.1322
2008 08 2 0 31.8026
2009 08 2 1 19.4019
2010 08 2 1 44.1577
1984 09 3 0 29.0487
1985 09 3 0 14.0425
1986 09 3 1 18.907
1987 09 3 1 7.3958
1988 09 3 1 16.5666
1989 09 3 0 20.5463
1990 09 3 0 7.61175
1991 09 3 1 5.01329
1992 09 3 0 193.987
1993 09 3 1 10.382
1994 09 3 1 0.000366904
1995 09 3 0 1.91044
1996 09 3 0 10.9882
1997 09 3 1 11.8563
1998 09 3 0 0.750671
1999 09 3 1 62.2283
2000 09 3 0 13.2052
2001 09 3 0 11.0678
2002 09 3 1 7.94244
2003 09 3 0 23.494
2004 09 3 1 303.08
2005 09 3 0 96.8704
2006 09 3 1 30.8428
2007 09 3 1 593.523
2008 09 3 0 49.2853
2009 09 3 1 33.8547
2010 09 3 1 67.3075
1984 10 4 1 31.7375
1985 10 4 0 18.1908
1986 10 4 1 22.1114
1987 10 4 1 18.558
1988 10 4 1 31.8094
1989 10 4 0 24.4588
1990 10 4 0 26.5241
1991 10 4 1 30.866
1992 10 4 0 75.8101
1993 10 4 1 47.8409
1994 10 4 1 25.8512
1995 10 4 1 18.9321
1996 10 4 0 20.821
1997 10 4 1 81.4941
1998 10 4 1 19.5371
1999 10 4 1 21.9035
2000 10 4 1 31.1993
2001 10 4 0 28.1957
2002 10 4 1 44.0234
2003 10 4 0 20.0113
2004 10 4 1 38.3484
2005 10 4 0 22.7859
2006 10 4 1 37.458
2007 10 4 1 30.5987
2008 10 4 0 25.5332
2009 10 4 1 54.8447
2010 10 4 1 11.4462
1984 08 0 0 35.3 0.257
1985 08 0 0 14.9 236.9
1986 08 0 0 302.5 149.0
1987 08 0 1 23.1 282.1
1988 08 0 1 1.39 259.8
1989 08 0 0 17.2 7.67
1990 08 0 0 276.4 52.1
1991 08 0 1 132.6 40.8
1992 08 0 0 105.5 79.7
1993 08 0 0 28.6 3.96
1994 08 0 1 0.0 0.064
1995 08 0 0 139.2 0.623
1996 08 0 0 151.7 6.17
1997 08 0 1 15.3 83.5
1998 08 0 1 0.0 0.295
1999 08 0 1 33.2 99.9
